segment_id,speech_id,date,party,sentence_idx,mention_text,mention_type,masked_sentence,animal,cargo,disease,flood_tide,machine,vermin,invasion,threat
710024118_0,710024118,19290603,D,0,aliens,direct,Suppose you base your representation on the [MASK] in our midst and then deport them .,0.008979731239378452,0.0004421844787430018,0.00018880018615163863,3.7427384086186066e-05,0.0029807703103870153,0.0006230085855349898,0.04124659299850464,0.001837761839851737
680074138_b000,680074138,19240405,D,0,Mexicans,nationality,There is no restriction against [MASK] in this bill .,0.00016515755851287395,4.617844388121739e-05,0.00010666033631423488,8.412933675572276e-05,0.0002015910140471533,7.829335118003655e-06,0.00032630946952849627,6.56433985568583e-05
630017217_b000,630017217,19130508,D,0,Mexicans,nationality,[MASK] ?,0.0002561346045695245,9.986109216697514e-05,0.00014963325520511717,8.183495083358139e-05,0.00017285460489802063,6.819999543949962e-05,0.00022311045904643834,0.00016073175356723368
500117246_1,500117246,18880905,D,0,Chinese,nationality,I have seen something in the newspapers about [MASK] being naturalized in Indianapolis .,3.0162551411194727e-05,2.5843060939223506e-05,1.1431058737798594e-05,1.4601568182115443e-05,2.936100099759642e-05,9.466907613386866e-06,0.0001102560490835458,1.607237027201336e-05
640163773_1,640163773,19160707,D,0,foreigner,direct,Then . the gentleman believes the [MASK] gives that to you .,0.0063792262226343155,6.024051253916696e-05,0.00027922281879000366,5.263252751319669e-05,0.0008424071129411459,0.0002458847884554416,0.003552546724677086,0.0004666962777264416
640163773_1,640163773,19160707,D,1,foreigners,direct,The gentleman believes the [MASK] are very generous over there .,0.004544198978692293,0.0009271976305171847,2.25985495490022e-05,0.0009992342675104737,0.0002640042803250253,0.00010641736298566684,0.005939632188528776,9.939890878740698e-05
580070557_0,580070557,19040423,D,0,Chinese,nationality,Of course the burden of proof is on him to show that he is not of [MASK] descent .,5.690831312676892e-05,4.527808414422907e-06,1.1227094546484295e-05,6.9499023993557785e-06,7.513401214964688e-06,5.884111942577874e-06,0.0004441229102667421,1.2286600394872949e-05
1090134935_36,1090134935,20060518,Unknown,0,French,nationality,Pt . 7 magazine as well as the [MASK] news agency AFP . and broadcast for the radio stations Canal 47 .,4.0623963286634535e-05,1.7015761841321364e-05,9.940771633409895e-06,3.786382876569405e-05,4.512916348176077e-05,6.953012416488491e-06,0.00022860443277750164,5.876956493011676e-06
480122171_0,480122171,18850217,D,0,foreigners,direct,No . sir . the parties are usually [MASK] .,0.0002636600111145526,1.2212846741022076e-05,2.1156251023057848e-05,2.266948649776168e-05,1.8685770555748604e-05,1.7063994164345786e-05,0.0005363353993743658,1.0329309588996693e-05
920164489_33,920164489,19711215,Unknown,0,Italian,nationality,"In 1958 . the [MASK] Government awarded Fausto Cleva the "" Commenda Della Republica Italian .",1.179638076109768e-07,1.4951957894027146e-07,6.954945774850785e-07,3.787602054217132e-07,3.891889832630113e-07,3.872447678077151e-07,9.43388386076549e-06,1.346075748642761e-07
920164489_33,920164489,19711215,Unknown,1,Italian,nationality,"In 1958 . the Italian Government awarded Fausto Cleva the "" Commenda Della Republica [MASK] .",1.0257274141167727e-08,3.3821496714381283e-09,3.8226501963833925e-09,3.2110112346828146e-09,9.762652908307246e-09,1.9703914055924088e-09,3.051778918461423e-08,5.2493613900139735e-09
550030518_0,550030518,18970625,R,0,Japanese,nationality,Not [MASK] ?,0.0006122291088104248,4.25790021836292e-05,0.0002508082252461463,3.352076601004228e-05,5.7200799346901476e-05,7.019691111054271e-05,0.00044287877972237766,0.00020747071539517492
CREC-2015-11-17-pt1-PgS7992-2_0020_1,CREC-2015-11-17-pt1-PgS7992-2_0020,20151117,Unknown,0,Syrian,nationality,[MASK] Refugee Crisis,2.8622123863897286e-05,4.71907583232678e-07,5.724151378672104e-06,2.2082487703301013e-05,1.742951440064644e-06,1.8242828900838504e-06,4.958119461662136e-06,3.7592380977002904e-06
